id,nombre,tipo,latitud,longitud,capacidad
SITP079A04,12 de Octubre,sitp,4.667696,-74.073782,2000
SITP003A04,12 de Octubre 2,sitp,4.669139,-74.075071,2000
SITP022A13,20 de Julio,sitp,4.570529,-74.096124,2000
SITP209A13,20 de Julio 2,sitp,4.569235,-74.098742,2000
SITP020A13,20 de Julio 3,sitp,4.574705,-74.095344,2000
SITP021A13,20 de Julio 4,sitp,4.571413,-74.098366,2000
SITP095A13,20 de Julio 5,sitp,4.571197,-74.096056,2000
SITP021A00,7 de Agosto,sitp,4.656973,-74.070889,2000
SITP293A01,AC 100,sitp,4.688,-74.051852,2000
SITP094D07,AC 13,sitp,4.635342,-74.119586,2000
SITP094C07,AC 13 2,sitp,4.635601,-74.119476,2000
SITP094A07,AC 13 3,sitp,4.63679,-74.118615,2000
SITP378A03,AC 132,sitp,4.736277,-74.101463,2000
SITP126D06,AC 17,sitp,4.63836,-74.116978,2000
SITP126A06,AC 17 2,sitp,4.639327,-74.115954,2000
SITP126C06,AC 17 3,sitp,4.638632,-74.116692,2000
SITP115A05,AC 26,sitp,4.655365,-74.102315,2000
SITP685A00,AC 63,sitp,4.650623,-74.064607,2000
SITP297A05,AC 72,sitp,4.680018,-74.088893,2000
SITP056A04,AC 72 2,sitp,4.702211,-74.113609,2000
SITP299A05,AC 72 3,sitp,4.682083,-74.090403,2000
SITP001C04,AC 80,sitp,4.682185,-74.08094,2000
SITP341A09,ACIP,sitp,4.611887,-74.170543,2000
SITP8478,AEROPUERTO GUAYMARAL,sitp,4.813129,-74.066055,3000
SITPBD-051A,AK 11,sitp,4.661848,-74.057488,2000
SITPBD-051B,AK 11 2,sitp,4.661882,-74.057576,2000
SITP116A00,AK 15,sitp,4.679147,-74.049721,2000
SITP533A00,AK 17,sitp,4.640025,-74.070328,2000
SITP223A03,AK 68,sitp,4.688808,-74.074731,2000
SITP231A07,ALSACIA REAL,sitp,4.640667,-74.127802,2000
SITP303A07,ALSACIA RESERVADOII,sitp,4.64481,-74.127177,2000
SITP097C07,AV. Américas,sitp,4.627729,-74.123138,2000
SITP061A03,AV. C. Cali,sitp,4.717981,-74.091514,2000
SITP411A04,AV. C. Cali 2,sitp,4.703261,-74.102001,2000
SITP115C05,AV. CL 26,sitp,4.655911,-74.101803,2000
SITP299A12,AV. Darío Echandía,sitp,4.563676,-74.10883,2000
SITP026A10,AV. Jorge Gaitán Cortes,sitp,4.580793,-74.142802,2000
SITP026B10,AV. Jorge Gaitán Cortes 2,sitp,4.581114,-74.142915,2000
SITP525A08,AV. Tintal,sitp,4.635442,-74.180459,2000
SITP364A11,Abraham Lincoln,sitp,4.558152,-74.123255,2000
SITP363A11,Abraham Lincoln 2,sitp,4.557113,-74.123687,2000
SITP584A11,Abraham Lincoln 3,sitp,4.559069,-74.124902,2000
SITP500A11,Acacias Sur,sitp,4.557128,-74.143755,2000
SITP503A11,Acacias Sur 2,sitp,4.557388,-74.143458,2000
SITP602A11,Acacias Sur 3,sitp,4.562359,-74.141353,2000
SITP667A01,Acacias Usaquén,sitp,4.725738,-74.033259,2000
SITP112A01,Acacias Usaquén 2,sitp,4.726692,-74.041014,2000
SITP629A00,Academia Colombiana de Historia,sitp,4.598158,-74.077657,2000
SITP371A00,Academia Nacional de Medicina,sitp,4.651764,-74.057301,2000
SITP537A11,Acapulco,sitp,4.538327,-74.135461,2000
SITP576A01,Acerías Paz del Río,sitp,4.77295,-74.026754,2000
SITP086A05,Acevedo Tejada,sitp,4.630993,-74.081364,2000
SITP085A05,Acevedo Tejada 2,sitp,4.631145,-74.081572,2000
SITP076A05,Acevedo Tejada 3,sitp,4.629849,-74.080251,2000
SITP455A01,Acueducto,sitp,4.765285,-74.022716,2000
SITP383A06,Aeronáutica Civil,sitp,4.690336,-74.132843,2000
SITP377C05,Aeropuerto Eldorado,sitp,4.697848,-74.140614,2000
SITP377A05,Aeropuerto Eldorado 2,sitp,4.697081,-74.140528,2000
SITP377B05,Aeropuerto Eldorado 3,sitp,4.69804,-74.140875,2000
SITP377D05,Aeropuerto Eldorado 4,sitp,4.697683,-74.140372,2000
SITP121A02,Agrupación Fuerte Ventura,sitp,4.724398,-74.054568,2000
SITP274A02,Agrupación Granada Norte,sitp,4.750307,-74.053934,2000
SITP566A01,Agrupación Tivoli,sitp,4.705392,-74.027644,2000
SITP093A01,Agrupación Verbenal,sitp,4.717526,-74.031985,2000
SITP498A08,Agrupación de Vivienda Jacaranda,sitp,4.618009,-74.129903,2000
SITP089A01,Agrupación el Palomar,sitp,4.721176,-74.040764,2000
SITP307A13,Aguas Claras,sitp,4.55949,-74.068139,2000
SITP400A13,Aguas Claras 2,sitp,4.562372,-74.068053,2000
SITP309A13,Aguas Claras 3,sitp,4.561544,-74.067684,2000
SITP308A13,Aguas Claras 4,sitp,4.559675,-74.067967,2000
SITP401A13,Aguas Claras 5,sitp,4.562394,-74.068139,2000
SITP252A13,Aguas Claras 6,sitp,4.56354,-74.067873,2000
SITP249A13,Aguas Claras 7,sitp,4.563313,-74.06776,2000
