id,origen,destino,tiempoViaje,capacidad,distancia
R0001,SITP388A05,SITP130C06,1,2000,666
R0002,SITP130C06,SITP131D06,1,2000,276
R0003,SITP131D06,SITP443A05,1,2000,381
R0004,SITP443A05,TM06101,1,2000,445
R0005,TM06101,SITP480A05,1,2000,205
R0006,SITP480A05,SITP379A06,1,2000,241
R0007,SITP379A06,SITP372A05,1,2000,256
R0008,SITP372A05,E013,1,2000,137
R0009,E013,SITP031A05,1,2000,427
R0010,SITP031A05,TM06002,1,2000,361
R0011,TM06002,SITP373A05,1,2000,86
R0012,SITP373A05,SITP487A05,1,2000,323
R0013,SITP487A05,SITP394A06,1,2000,880
R0014,SITP394A06,SITP490A05,1,2000,175
R0015,SITP490A05,SITP030A05,1,2000,787
R0016,SITP030A05,SITP169A05,1,2000,213
R0017,SITP169A05,SITP010A05,1,2000,110
R0018,SITP010A05,SITP315A05,1,2000,192
R0019,SITP315A05,SITP313A05,1,2000,364
R0020,SITP313A05,SITP310A05,1,2000,373
R0021,SITP310A05,SITP307A05,1,2000,487
R0022,SITP307A05,SITP306A05,1,2000,174
R0023,SITP306A05,SITP418A05,1,2000,431
R0024,SITP418A05,SITP057A05,1,2000,238
R0025,SITP057A05,SITP201B05,1,2000,294
R0026,SITP201B05,SITP228A05,1,2000,889
R0027,SITP228A05,SITP203A05,1,2000,111
R0028,SITP203A05,SITP476A05,1,2000,226
R0029,SITP476A05,SITP204A05,1,2000,205
R0030,SITP204A05,SITP046A05,1,2000,156
R0031,SITP046A05,SITP477A05,1,2000,220
R0032,SITP477A05,SITP207B05,1,2000,119
R0033,SITP207B05,SITP208B05,1,2000,420
R0034,SITP208B05,SITP218A05,1,2000,202
R0035,SITP218A05,SITP239A05,1,2000,210
R0036,SITP239A05,SITP243A05,1,2000,206
R0037,SITP243A05,SITP256A05,1,2000,310
R0038,SITP256A05,SITP255A05,1,2000,46
R0039,SITP255A05,SITP438A05,1,2000,259
R0040,SITP438A05,SITP451A05,1,2000,229
R0041,SITP451A05,SITP257A05,1,2000,18
R0042,SITP257A05,SITP090A04,1,2000,179
R0043,SITP090A04,SITP091A04,1,2000,131
R0044,SITP091A04,SITP238A04,1,2000,431
R0045,SITP238A04,SITP098A04,1,2000,359
R0046,SITP098A04,SITP039A04,1,2000,292
R0047,SITP039A04,SITP082A04,1,2000,213
R0048,SITP082A04,SITP038A04,1,2000,52
R0049,SITP038A04,SITP039A04,1,2000,220
R0050,SITP039A04,SITP162A04,1,2000,208
R0051,SITP162A04,SITP336A04,1,2000,431
R0052,SITP336A04,SITP268A05,1,2000,384
R0053,SITP268A05,SITP414A05,1,2000,576
R0054,SITP414A05,SITP353A05,1,2000,393
R0055,SITP102A03,SITP097A03,1,2000,663
R0056,SITP097A03,SITP098A03,1,2000,12
R0057,SITP097A03,SITP022A03,1,2000,306
R0058,SITP022A03,SITP621A03,1,2000,200
R0059,SITP621A03,SITP409A00,1,2000,267
R0060,SITP409A00,SITP136A03,1,2000,358
R0061,SITP136A03,SITP134A03,1,2000,310
R0062,SITP134A03,SITP192A03,1,2000,167
R0063,SITP192A03,SITP194A03,1,2000,282
R0064,SITP194A03,SITP189A03,1,2000,457
R0065,SITP189A03,SITP196A03,1,2000,180
R0066,SITP196A03,SITP078A03,1,2000,155
R0067,SITP078A03,SITP204A03,1,2000,373
R0068,SITP204A03,SITP104A03,1,2000,546
R0069,SITP104A03,SITP030A03,1,2000,227
R0070,SITP030A03,SITP641A03,1,2000,251
R0071,SITP641A03,SITP202A03,1,2000,261
R0072,SITP202A03,SITP051A03,1,2000,259
R0073,SITP051A03,SITP080A03,1,2000,553
R0074,SITP080A03,SITP594A03,1,2000,238
R0075,SITP594A03,SITP049A03,1,2000,404
R0076,SITP049A03,SITP006A03,1,2000,533
R0077,SITP006A03,SITP010A04,1,2000,640
R0078,SITP010A04,SITP009A04,1,2000,230
R0079,SITP009A04,SITP111A04,1,2000,588
R0080,SITP111A04,SITP411A04,1,2000,377
R0081,SITP411A04,SITP007A04,1,2000,246
R0082,SITP007A04,SITP110A04,1,2000,127
R0083,SITP110A04,SITP257A04,1,2000,166
R0084,SITP257A04,SITP005A04,1,2000,230
R0085,SITP005A04,SITP004A04,1,2000,187
R0086,SITP004A04,SITP050A05,1,2000,214
R0087,SITP050A05,SITP029A05,1,2000,269
R0088,SITP029A05,SITP034B05,1,2000,178
R0089,SITP034B05,SITP080A05,1,2000,167
R0090,SITP080A05,SITP011A05,1,2000,132
R0091,SITP011A05,SITP453A05,1,2000,57
R0092,SITP453A05,SITP010A05,1,2000,306
R0093,SITP010A05,SITP312A05,1,2000,162
R0094,SITP312A05,SITP028A05,1,2000,543
R0095,SITP028A05,SITP403A05,1,2000,481
R0096,SITP403A05,SITP029A06,1,2000,522
R0097,SITP029A06,SITP193A06,1,2000,411
R0098,SITP193A06,SITP027A06,1,2000,200
R0099,SITP027A06,SITP026A06,1,2000,428
R0100,SITP026A06,SITP155B06,1,2000,624
R0101,SITP155B06,SITP130A07,1,2000,378
